Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
back(),Chrome 88.0.4324.182,,,2021-02-24 14:11:24,2021-02-24 14:11:24,0.067s,PASSED
"click(findTestObject(""P_USE/20/Page_Bluuu -/a_""))",Chrome 88.0.4324.182,,,2021-02-24 14:11:24,2021-02-24 14:11:26,1.577s,PASSED
"if (verifyElementNotClickable(findTestObject(""P_USE/20/Page_Bluuu/button_"")))",Chrome 88.0.4324.182,,,2021-02-24 14:11:26,2021-02-24 14:11:27,1.641s,PASSED
,,,,,,,
Test Cases/Special Case/25_Information_correct,Chrome 88.0.4324.182,,,2021-02-24 14:11:27,2021-02-24 14:11:51,23.411s,PASSED
"openBrowser("""")",Chrome 88.0.4324.182,,,2021-02-24 14:11:28,2021-02-24 14:11:29,1.132s,PASSED
"navigateToUrl(""https://uat.bluuu.co/"")",Chrome 88.0.4324.182,,,2021-02-24 14:11:29,2021-02-24 14:11:33,3.606s,PASSED
maximizeWindow(),Chrome 88.0.4324.182,,,2021-02-24 14:11:33,2021-02-24 14:11:33,0.227s,PASSED
"click(findTestObject(""Object Repository/P_USE/25/Page_Bluuu -/a_""))",Chrome 88.0.4324.182,,,2021-02-24 14:11:33,2021-02-24 14:11:33,0.471s,PASSED
"click(findTestObject(""Object Repository/P_USE/25/Page_Bluuu/svg__vc-svg-icon""))",Chrome 88.0.4324.182,,,2021-02-24 14:11:33,2021-02-24 14:11:35,1.263s,PASSED
"click(findTestObject(""Object Repository/P_USE/25/Page_Bluuu/svg__vc-svg-icon""))",Chrome 88.0.4324.182,,,2021-02-24 14:11:35,2021-02-24 14:11:36,1.266s,PASSED
"click(findTestObject(""Object Repository/P_USE/25/Page_Bluuu/span_30""))",Chrome 88.0.4324.182,Friday 30/04/2021,,2021-02-24 14:11:36,2021-02-24 14:11:37,0.726s,PASSED
"click(findTestObject(""Object Repository/P_USE/25/Page_Bluuu/div__arrow-down""))",Chrome 88.0.4324.182,,,2021-02-24 14:11:37,2021-02-24 14:11:37,0.479s,PASSED
"click(findTestObject(""Object Repository/P_USE/25/Page_Bluuu/li_0700""))",Chrome 88.0.4324.182,07.00,,2021-02-24 14:11:37,2021-02-24 14:11:38,0.416s,PASSED
"setText(findTestObject(""Object Repository/P_USE/25/Page_Bluuu/input____BVID__186""), ""to"")",Chrome 88.0.4324.182,,,2021-02-24 14:11:38,2021-02-24 14:11:38,0.735s,PASSED
delay(2.5),Chrome 88.0.4324.182,,,2021-02-24 14:11:38,2021-02-24 14:11:41,2.502s,PASSED
"click(findTestObject(""Object Repository/P_USE/25/Page_Bluuu/div_Town in Town Village""))",Chrome 88.0.4324.182,Town in Town Village,,2021-02-24 14:11:41,2021-02-24 14:11:41,0.385s,PASSED
"click(findTestObject(""Object Repository/P_USE/25/Page_Bluuu/div__arrow-down_1""))",Chrome 88.0.4324.182,,,2021-02-24 14:11:41,2021-02-24 14:11:41,0.367s,PASSED
